
Epoch 0, 25%	 Loss : 5.0338e-04	 RES : 4.3183e-05	 MSE : 3.7820e-04	 REL : 9.4558e-01
Epoch 0, 50%	 Loss : 2.4724e-04	 RES : 2.4132e-05	 MSE : 3.7073e-04	 REL : 9.4462e-01
Epoch 0, 75%	 Loss : 1.6909e-04	 RES : 8.8423e-06	 MSE : 3.4885e-04	 REL : 8.6591e-01
Training Epoch 0 :	 Loss : 3.7646e-03 	 RES : 5.0906e-05	 MSE : 4.4895e-04	 REL : 9.8039e-01
Validation Epoch 0 :	 Loss : 1.3491e-04	 RES : 7.2902e-06	 MSE : 3.2067e-04	 REL : 8.5486e-01
Training Epoch 0 finished,took current epoch 46.23s,cumulative time 44.09s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 1.1860e-04	 RES : 6.5953e-06	 MSE : 2.9503e-04	 REL : 8.3516e-01
Epoch 1, 50%	 Loss : 1.0769e-04	 RES : 5.3616e-06	 MSE : 2.7971e-04	 REL : 8.2051e-01
Epoch 1, 75%	 Loss : 1.1560e-04	 RES : 5.1566e-06	 MSE : 3.0447e-04	 REL : 8.0896e-01
Training Epoch 1 :	 Loss : 1.1440e-04 	 RES : 5.8231e-06	 MSE : 3.0921e-04	 REL : 8.3766e-01
Validation Epoch 1 :	 Loss : 9.6701e-05	 RES : 3.7363e-06	 MSE : 2.7374e-04	 REL : 7.8969e-01
Training Epoch 1 finished,took current epoch 39.10s,cumulative time 82.98s
MODEL SAVED
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 9.1692e-05	 RES : 3.3169e-06	 MSE : 2.5139e-04	 REL : 7.7092e-01
Epoch 2, 50%	 Loss : 8.6949e-05	 RES : 2.8476e-06	 MSE : 2.5245e-04	 REL : 7.7951e-01
Epoch 2, 75%	 Loss : 9.5986e-05	 RES : 2.9733e-06	 MSE : 2.5575e-04	 REL : 7.4141e-01
Training Epoch 2 :	 Loss : 9.2577e-05 	 RES : 3.4396e-06	 MSE : 2.7377e-04	 REL : 7.8702e-01
Validation Epoch 2 :	 Loss : 8.4385e-05	 RES : 2.6748e-06	 MSE : 2.4390e-04	 REL : 7.4548e-01
Training Epoch 2 finished,took current epoch 38.99s,cumulative time 121.77s
MODEL SAVED
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 8.1676e-05	 RES : 2.6485e-06	 MSE : 2.3794e-04	 REL : 7.5001e-01
Epoch 3, 50%	 Loss : 7.5820e-05	 RES : 2.0605e-06	 MSE : 2.1809e-04	 REL : 7.2451e-01
Epoch 3, 75%	 Loss : 8.4535e-05	 RES : 2.4425e-06	 MSE : 2.4557e-04	 REL : 7.2651e-01
Training Epoch 3 :	 Loss : 8.0406e-05 	 RES : 2.5121e-06	 MSE : 2.4752e-04	 REL : 7.4802e-01
Validation Epoch 3 :	 Loss : 7.2067e-05	 RES : 2.0798e-06	 MSE : 2.3225e-04	 REL : 7.2719e-01
Training Epoch 3 finished,took current epoch 38.51s,cumulative time 160.04s
MODEL SAVED
Learning Rate : 0.01
Epoch 4, 25%	 Loss : 6.6371e-05	 RES : 1.7896e-06	 MSE : 2.0603e-04	 REL : 6.9792e-01
Epoch 4, 50%	 Loss : 6.5401e-05	 RES : 1.8921e-06	 MSE : 2.0850e-04	 REL : 7.0841e-01
Epoch 4, 75%	 Loss : 7.2039e-05	 RES : 1.9535e-06	 MSE : 2.2935e-04	 REL : 7.0211e-01
Training Epoch 4 :	 Loss : 6.8432e-05 	 RES : 2.0129e-06	 MSE : 2.3183e-04	 REL : 7.2532e-01
Validation Epoch 4 :	 Loss : 6.6599e-05	 RES : 2.0031e-06	 MSE : 2.4202e-04	 REL : 7.4231e-01
Training Epoch 4 finished,took current epoch 39.08s,cumulative time 198.91s
MODEL SAVED
Learning Rate : 0.01
Epoch 5, 25%	 Loss : 6.5622e-05	 RES : 1.9995e-06	 MSE : 2.2480e-04	 REL : 7.2901e-01
Epoch 5, 50%	 Loss : 6.1892e-05	 RES : 1.5253e-06	 MSE : 2.0049e-04	 REL : 6.9467e-01
Epoch 5, 75%	 Loss : 7.0213e-05	 RES : 1.8108e-06	 MSE : 2.2037e-04	 REL : 6.8822e-01
