
Epoch 0, 25%	 Loss : 2.7673e-04	 RES : 2.6979e-05	 MSE : 3.8444e-04	 REL : 9.5335e-01
Epoch 0, 50%	 Loss : 1.4122e-04	 RES : 7.3223e-06	 MSE : 3.1240e-04	 REL : 8.6713e-01
Epoch 0, 75%	 Loss : 1.2491e-04	 RES : 6.9009e-06	 MSE : 3.3272e-04	 REL : 8.4566e-01
Training Epoch 0 :	 Loss : 7.6143e-04 	 RES : 7.4678e-05	 MSE : 8.2158e-04	 REL : 1.0871e+00
Validation Epoch 0 :	 Loss : 8.6152e-05	 RES : 4.4719e-06	 MSE : 2.8758e-04	 REL : 8.0937e-01
Training Epoch 0 finished,took current epoch 77.04s,cumulative time 76.85s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 7.6279e-05	 RES : 3.6572e-06	 MSE : 2.5664e-04	 REL : 7.7893e-01
Epoch 1, 50%	 Loss : 6.8725e-05	 RES : 2.9192e-06	 MSE : 2.6790e-04	 REL : 8.0300e-01
Epoch 1, 75%	 Loss : 7.3611e-05	 RES : 2.4803e-06	 MSE : 2.3795e-04	 REL : 7.1515e-01
Training Epoch 1 :	 Loss : 7.4999e-05 	 RES : 3.3744e-06	 MSE : 2.7482e-04	 REL : 7.8728e-01
Validation Epoch 1 :	 Loss : 6.2662e-05	 RES : 1.9500e-06	 MSE : 2.1760e-04	 REL : 7.0386e-01
Training Epoch 1 finished,took current epoch 74.50s,cumulative time 151.19s
MODEL SAVED
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 6.7608e-05	 RES : 2.9357e-06	 MSE : 2.8615e-04	 REL : 8.2250e-01
Epoch 2, 50%	 Loss : 5.9858e-05	 RES : 1.8628e-06	 MSE : 2.3370e-04	 REL : 7.5000e-01
Epoch 2, 75%	 Loss : 6.7095e-05	 RES : 1.8310e-06	 MSE : 2.2323e-04	 REL : 6.9268e-01
Training Epoch 2 :	 Loss : 6.3618e-05 	 RES : 2.1706e-06	 MSE : 2.4662e-04	 REL : 7.4584e-01
Validation Epoch 2 :	 Loss : 5.9407e-05	 RES : 1.5407e-06	 MSE : 2.0559e-04	 REL : 6.8442e-01
Training Epoch 2 finished,took current epoch 74.61s,cumulative time 225.69s
MODEL SAVED
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 5.5894e-05	 RES : 1.2382e-06	 MSE : 1.8163e-04	 REL : 6.5529e-01
Epoch 3, 50%	 Loss : 5.4930e-05	 RES : 1.1845e-06	 MSE : 1.7600e-04	 REL : 6.5086e-01
Epoch 3, 75%	 Loss : 6.4051e-05	 RES : 1.3720e-06	 MSE : 1.9533e-04	 REL : 6.4795e-01
Training Epoch 3 :	 Loss : 6.0308e-05 	 RES : 1.7131e-06	 MSE : 2.2902e-04	 REL : 7.1545e-01
Validation Epoch 3 :	 Loss : 5.6466e-05	 RES : 1.1695e-06	 MSE : 1.8581e-04	 REL : 6.5047e-01
Training Epoch 3 finished,took current epoch 74.82s,cumulative time 300.37s
MODEL SAVED
Learning Rate : 0.01
Epoch 4, 25%	 Loss : 5.7073e-05	 RES : 1.5008e-06	 MSE : 2.0156e-04	 REL : 6.9030e-01
Epoch 4, 50%	 Loss : 6.7919e-05	 RES : 1.0101e-06	 MSE : 1.6727e-04	 REL : 6.3450e-01
Epoch 4, 75%	 Loss : 6.4778e-05	 RES : 1.3751e-06	 MSE : 1.9690e-04	 REL : 6.5055e-01
Training Epoch 4 :	 Loss : 5.9370e-05 	 RES : 1.4578e-06	 MSE : 2.1621e-04	 REL : 6.9505e-01
Validation Epoch 4 :	 Loss : 6.4005e-05	 RES : 2.3974e-06	 MSE : 3.3103e-04	 REL : 8.6861e-01
Training Epoch 4 finished,took current epoch 75.02s,cumulative time 375.30s
Learning Rate : 0.01
Epoch 5, 25%	 Loss : 5.4620e-05	 RES : 8.7490e-07	 MSE : 1.5516e-04	 REL : 6.0565e-01
Epoch 5, 50%	 Loss : 5.3069e-05	 RES : 9.0506e-07	 MSE : 1.6260e-04	 REL : 6.2560e-01
Epoch 5, 75%	 Loss : 6.3318e-05	 RES : 1.4345e-06	 MSE : 2.2755e-04	 REL : 6.9934e-01
Training Epoch 5 :	 Loss : 5.7253e-05 	 RES : 1.2610e-06	 MSE : 2.0512e-04	 REL : 6.7635e-01
Validation Epoch 5 :	 Loss : 5.7147e-05	 RES : 1.3373e-06	 MSE : 2.2998e-04	 REL : 7.2357e-01
Training Epoch 5 finished,took current epoch 75.28s,cumulative time 450.44s
Learning Rate : 0.01
Epoch 6, 25%	 Loss : 5.3384e-05	 RES : 9.2928e-07	 MSE : 1.7243e-04	 REL : 6.3848e-01
Epoch 6, 50%	 Loss : 5.7809e-05	 RES : 1.5137e-06	 MSE : 2.8867e-04	 REL : 8.3354e-01
Epoch 6, 75%	 Loss : 6.9449e-05	 RES : 2.5120e-06	 MSE : 4.1286e-04	 REL : 9.4201e-01
Training Epoch 6 :	 Loss : 5.6018e-05 	 RES : 1.1066e-06	 MSE : 1.9764e-04	 REL : 6.6426e-01
Validation Epoch 6 :	 Loss : 5.3641e-05	 RES : 7.9235e-07	 MSE : 1.5650e-04	 REL : 5.9667e-01
Training Epoch 6 finished,took current epoch 75.34s,cumulative time 525.62s
MODEL SAVED
Learning Rate : 0.01
Epoch 7, 25%	 Loss : 5.2435e-05	 RES : 7.3778e-07	 MSE : 1.4291e-04	 REL : 5.8126e-01
Epoch 7, 50%	 Loss : 5.3752e-05	 RES : 8.0470e-07	 MSE : 1.5536e-04	 REL : 6.1151e-01
Epoch 7, 75%	 Loss : 5.9922e-05	 RES : 1.0175e-06	 MSE : 1.9348e-04	 REL : 6.4487e-01
Training Epoch 7 :	 Loss : 5.5390e-05 	 RES : 1.0224e-06	 MSE : 1.9364e-04	 REL : 6.5747e-01
Validation Epoch 7 :	 Loss : 5.3678e-05	 RES : 7.8033e-07	 MSE : 1.6308e-04	 REL : 6.0905e-01
Training Epoch 7 finished,took current epoch 75.59s,cumulative time 601.01s
MODEL SAVED
Learning Rate : 0.01
Epoch 8, 25%	 Loss : 5.3090e-05	 RES : 9.2657e-07	 MSE : 1.6762e-04	 REL : 6.2951e-01
Epoch 8, 50%	 Loss : 6.2855e-05	 RES : 3.5751e-06	 MSE : 2.6621e-04	 REL : 8.0047e-01
Epoch 8, 75%	 Loss : 5.9117e-05	 RES : 8.8781e-07	 MSE : 1.6522e-04	 REL : 5.9592e-01
Training Epoch 8 :	 Loss : 5.5898e-05 	 RES : 1.1648e-06	 MSE : 2.0127e-04	 REL : 6.6143e-01
Validation Epoch 8 :	 Loss : 5.6394e-05	 RES : 9.9918e-07	 MSE : 1.9851e-04	 REL : 6.7266e-01
Training Epoch 8 finished,took current epoch 75.34s,cumulative time 676.20s
Learning Rate : 0.01
Epoch 9, 25%	 Loss : 5.1351e-05	 RES : 6.7403e-07	 MSE : 1.3799e-04	 REL : 5.7117e-01
Epoch 9, 50%	 Loss : 5.1191e-05	 RES : 7.1801e-07	 MSE : 1.4320e-04	 REL : 5.8710e-01
Epoch 9, 75%	 Loss : 5.8675e-05	 RES : 8.5867e-07	 MSE : 1.7200e-04	 REL : 6.0802e-01
Training Epoch 9 :	 Loss : 5.4094e-05 	 RES : 8.5556e-07	 MSE : 1.7319e-04	 REL : 6.2307e-01
Validation Epoch 9 :	 Loss : 5.5039e-05	 RES : 9.7184e-07	 MSE : 1.6743e-04	 REL : 6.1757e-01
Training Epoch 9 finished,took current epoch 75.92s,cumulative time 752.01s
Learning Rate : 0.01
Epoch 10, 25%	 Loss : 5.1052e-05	 RES : 6.6749e-07	 MSE : 1.3787e-04	 REL : 5.7091e-01
Epoch 10, 50%	 Loss : 5.2035e-05	 RES : 8.2567e-07	 MSE : 1.8575e-04	 REL : 6.6864e-01
Epoch 10, 75%	 Loss : 5.8031e-05	 RES : 7.5081e-07	 MSE : 1.5486e-04	 REL : 5.7692e-01
Training Epoch 10 :	 Loss : 5.3412e-05 	 RES : 7.8303e-07	 MSE : 1.6536e-04	 REL : 6.0935e-01
Validation Epoch 10 :	 Loss : 5.4267e-05	 RES : 9.2479e-07	 MSE : 1.9109e-04	 REL : 6.6000e-01
Training Epoch 10 finished,took current epoch 75.56s,cumulative time 827.50s
Learning Rate : 0.01
Epoch 11, 25%	 Loss : 5.2075e-05	 RES : 9.0864e-07	 MSE : 1.7494e-04	 REL : 6.4311e-01
Epoch 11, 50%	 Loss : 5.3091e-05	 RES : 1.0208e-06	 MSE : 1.5338e-04	 REL : 6.0760e-01
Epoch 11, 75%	 Loss : 5.7787e-05	 RES : 7.5283e-07	 MSE : 1.6041e-04	 REL : 5.8717e-01
Training Epoch 11 :	 Loss : 5.3391e-05 	 RES : 8.2037e-07	 MSE : 1.7039e-04	 REL : 6.1652e-01
Validation Epoch 11 :	 Loss : 5.2501e-05	 RES : 7.0065e-07	 MSE : 1.5317e-04	 REL : 5.9060e-01
Training Epoch 11 finished,took current epoch 76.40s,cumulative time 903.76s
MODEL SAVED
Learning Rate : 0.01
Epoch 12, 25%	 Loss : 5.0464e-05	 RES : 6.0761e-07	 MSE : 1.3477e-04	 REL : 5.6447e-01
Epoch 12, 50%	 Loss : 5.0445e-05	 RES : 9.0252e-07	 MSE : 1.3149e-04	 REL : 5.6258e-01
Epoch 12, 75%	 Loss : 6.1427e-05	 RES : 1.3848e-06	 MSE : 2.9143e-04	 REL : 7.9144e-01
Training Epoch 12 :	 Loss : 5.2948e-05 	 RES : 7.8355e-07	 MSE : 1.6466e-04	 REL : 6.0709e-01
Validation Epoch 12 :	 Loss : 5.1500e-05	 RES : 5.5567e-07	 MSE : 1.3473e-04	 REL : 5.5351e-01
Training Epoch 12 finished,took current epoch 76.22s,cumulative time 979.77s
MODEL SAVED
Learning Rate : 0.01
Epoch 13, 25%	 Loss : 5.0271e-05	 RES : 6.3051e-07	 MSE : 1.2762e-04	 REL : 5.4929e-01
Epoch 13, 50%	 Loss : 5.3316e-05	 RES : 1.0780e-06	 MSE : 1.9039e-04	 REL : 6.7694e-01
Epoch 13, 75%	 Loss : 5.7194e-05	 RES : 6.5061e-07	 MSE : 1.4865e-04	 REL : 5.6525e-01
Training Epoch 13 :	 Loss : 5.2915e-05 	 RES : 7.7399e-07	 MSE : 1.6745e-04	 REL : 6.0970e-01
Validation Epoch 13 :	 Loss : 5.2124e-05	 RES : 6.8296e-07	 MSE : 1.3038e-04	 REL : 5.4455e-01
Training Epoch 13 finished,took current epoch 75.69s,cumulative time 1055.35s
Learning Rate : 0.01
Epoch 14, 25%	 Loss : 5.0469e-05	 RES : 6.4280e-07	 MSE : 1.4221e-04	 REL : 5.7983e-01
Epoch 14, 50%	 Loss : 4.9593e-05	 RES : 5.4804e-07	 MSE : 1.2796e-04	 REL : 5.5496e-01
Epoch 14, 75%	 Loss : 5.7799e-05	 RES : 6.8478e-07	 MSE : 1.4606e-04	 REL : 5.6030e-01
Training Epoch 14 :	 Loss : 5.2429e-05 	 RES : 7.0617e-07	 MSE : 1.5670e-04	 REL : 5.9207e-01
Validation Epoch 14 :	 Loss : 5.1407e-05	 RES : 5.3003e-07	 MSE : 1.3102e-04	 REL : 5.4582e-01
Training Epoch 14 finished,took current epoch 75.75s,cumulative time 1130.97s
MODEL SAVED
Learning Rate : 0.01
Epoch 15, 25%	 Loss : 5.0536e-05	 RES : 7.3079e-07	 MSE : 1.2609e-04	 REL : 5.4597e-01
Epoch 15, 50%	 Loss : 4.9647e-05	 RES : 5.0972e-07	 MSE : 1.2919e-04	 REL : 5.5764e-01
Epoch 15, 75%	 Loss : 5.6722e-05	 RES : 5.8481e-07	 MSE : 1.3537e-04	 REL : 5.3940e-01
Training Epoch 15 :	 Loss : 5.2358e-05 	 RES : 7.1090e-07	 MSE : 1.5507e-04	 REL : 5.9084e-01
Validation Epoch 15 :	 Loss : 5.1680e-05	 RES : 5.5448e-07	 MSE : 1.4926e-04	 REL : 5.8257e-01
Training Epoch 15 finished,took current epoch 75.84s,cumulative time 1206.72s
Learning Rate : 0.01
Epoch 16, 25%	 Loss : 5.0295e-05	 RES : 6.9118e-07	 MSE : 1.2257e-04	 REL : 5.3831e-01
Epoch 16, 50%	 Loss : 4.9793e-05	 RES : 5.9086e-07	 MSE : 1.3631e-04	 REL : 5.7280e-01
Epoch 16, 75%	 Loss : 5.8997e-05	 RES : 9.6633e-07	 MSE : 2.0321e-04	 REL : 6.6088e-01
Training Epoch 16 :	 Loss : 5.2218e-05 	 RES : 6.9928e-07	 MSE : 1.5330e-04	 REL : 5.8668e-01
Validation Epoch 16 :	 Loss : 5.1131e-05	 RES : 5.8637e-07	 MSE : 1.2736e-04	 REL : 5.3812e-01
Training Epoch 16 finished,took current epoch 76.21s,cumulative time 1282.84s
Learning Rate : 0.01
Epoch 17, 25%	 Loss : 4.9765e-05	 RES : 5.2305e-07	 MSE : 1.1823e-04	 REL : 5.2870e-01
Epoch 17, 50%	 Loss : 5.1511e-05	 RES : 8.1773e-07	 MSE : 1.9436e-04	 REL : 6.8396e-01
Epoch 17, 75%	 Loss : 5.6472e-05	 RES : 5.4969e-07	 MSE : 1.3226e-04	 REL : 5.3317e-01
Training Epoch 17 :	 Loss : 5.1966e-05 	 RES : 6.3828e-07	 MSE : 1.5152e-04	 REL : 5.8442e-01
Validation Epoch 17 :	 Loss : 5.1010e-05	 RES : 5.3387e-07	 MSE : 1.3851e-04	 REL : 5.6154e-01
Training Epoch 17 finished,took current epoch 75.93s,cumulative time 1358.66s
Learning Rate : 0.01
