
Epoch 0, 25%	 Loss : 1.9755e-04	 RES : 5.0620e-06	 MSE : 2.7663e-04	 REL : 8.1349e-01
Epoch 0, 50%	 Loss : 9.6608e-05	 RES : 1.8025e-06	 MSE : 1.9440e-04	 REL : 7.2779e-01
Epoch 0, 75%	 Loss : 9.0700e-05	 RES : 1.8995e-06	 MSE : 2.2035e-04	 REL : 6.9102e-01
Training Epoch 0 :	 Loss : 7.4854e-04 	 RES : 4.7482e-05	 MSE : 6.0172e-04	 REL : 9.0171e-01
Validation Epoch 0 :	 Loss : 7.0910e-05	 RES : 9.6587e-07	 MSE : 1.6381e-04	 REL : 6.0993e-01
Training Epoch 0 finished,took current epoch 263.85s,cumulative time 263.55s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 6.5563e-05	 RES : 8.5497e-07	 MSE : 1.5254e-04	 REL : 6.0409e-01
Epoch 1, 50%	 Loss : 5.7523e-05	 RES : 6.6512e-07	 MSE : 1.3322e-04	 REL : 6.0248e-01
Epoch 1, 75%	 Loss : 6.3158e-05	 RES : 7.2558e-07	 MSE : 1.4602e-04	 REL : 5.6251e-01
Training Epoch 1 :	 Loss : 6.7896e-05 	 RES : 1.0171e-06	 MSE : 1.7838e-04	 REL : 6.3179e-01
Validation Epoch 1 :	 Loss : 7.6184e-05	 RES : 1.7223e-06	 MSE : 3.1204e-04	 REL : 8.4371e-01
Training Epoch 1 finished,took current epoch 261.76s,cumulative time 525.14s
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 5.7478e-05	 RES : 5.2819e-07	 MSE : 1.2159e-04	 REL : 5.3933e-01
Epoch 2, 50%	 Loss : 5.9544e-05	 RES : 7.3618e-07	 MSE : 1.6788e-04	 REL : 6.7632e-01
Epoch 2, 75%	 Loss : 6.6711e-05	 RES : 9.9848e-07	 MSE : 2.1486e-04	 REL : 6.8234e-01
Training Epoch 2 :	 Loss : 6.1221e-05 	 RES : 6.9896e-07	 MSE : 1.4698e-04	 REL : 5.7455e-01
Validation Epoch 2 :	 Loss : 6.2443e-05	 RES : 6.1765e-07	 MSE : 1.5509e-04	 REL : 5.9391e-01
Training Epoch 2 finished,took current epoch 264.12s,cumulative time 788.73s
MODEL SAVED
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 5.8734e-05	 RES : 5.8841e-07	 MSE : 1.2619e-04	 REL : 5.4943e-01
Epoch 3, 50%	 Loss : 5.2314e-05	 RES : 3.6129e-07	 MSE : 8.6789e-05	 REL : 4.8628e-01
Epoch 3, 75%	 Loss : 5.8548e-05	 RES : 4.7319e-07	 MSE : 1.2032e-04	 REL : 5.1062e-01
Training Epoch 3 :	 Loss : 5.9162e-05 	 RES : 5.7497e-07	 MSE : 1.3170e-04	 REL : 5.4406e-01
Validation Epoch 3 :	 Loss : 5.7377e-05	 RES : 4.5165e-07	 MSE : 1.2766e-04	 REL : 5.3821e-01
Training Epoch 3 finished,took current epoch 264.71s,cumulative time 1053.21s
MODEL SAVED
Learning Rate : 0.01
Epoch 4, 25%	 Loss : 5.5956e-05	 RES : 3.8991e-07	 MSE : 9.8803e-05	 REL : 4.8617e-01
