
Epoch 0, 25%	 Loss : 1.3088e-04	 RES : 2.5584e-05	 MSE : 3.7372e-04	 REL : 9.4553e-01
Epoch 0, 50%	 Loss : 8.6463e-05	 RES : 7.6911e-06	 MSE : 2.8270e-04	 REL : 8.7764e-01
Epoch 0, 75%	 Loss : 6.4999e-05	 RES : 7.0939e-06	 MSE : 3.2508e-04	 REL : 8.3931e-01
Training Epoch 0 :	 Loss : 2.4505e-04 	 RES : 4.1030e-05	 MSE : 5.4016e-04	 REL : 9.7879e-01
Validation Epoch 0 :	 Loss : 5.5532e-05	 RES : 5.0258e-06	 MSE : 2.9082e-04	 REL : 8.1358e-01
Training Epoch 0 finished,took current epoch 47.81s,cumulative time 47.67s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 5.3122e-05	 RES : 4.2556e-06	 MSE : 2.6645e-04	 REL : 7.9838e-01
Epoch 1, 50%	 Loss : 4.6980e-05	 RES : 2.9978e-06	 MSE : 2.2440e-04	 REL : 7.8193e-01
Epoch 1, 75%	 Loss : 5.1684e-05	 RES : 3.1097e-06	 MSE : 2.7447e-04	 REL : 7.7121e-01
Training Epoch 1 :	 Loss : 5.2863e-05 	 RES : 3.7998e-06	 MSE : 2.7832e-04	 REL : 7.9538e-01
Validation Epoch 1 :	 Loss : 5.1108e-05	 RES : 3.1236e-06	 MSE : 2.6489e-04	 REL : 7.7622e-01
Training Epoch 1 finished,took current epoch 42.66s,cumulative time 90.23s
MODEL SAVED
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 5.0502e-05	 RES : 3.1687e-06	 MSE : 2.5229e-04	 REL : 7.7687e-01
Epoch 2, 50%	 Loss : 4.6520e-05	 RES : 2.8404e-06	 MSE : 2.3521e-04	 REL : 8.0054e-01
Epoch 2, 75%	 Loss : 4.9872e-05	 RES : 2.5590e-06	 MSE : 2.6019e-04	 REL : 7.5089e-01
Training Epoch 2 :	 Loss : 5.0557e-05 	 RES : 2.9563e-06	 MSE : 2.6187e-04	 REL : 7.7178e-01
Validation Epoch 2 :	 Loss : 4.9305e-05	 RES : 2.5001e-06	 MSE : 2.4488e-04	 REL : 7.4646e-01
Training Epoch 2 finished,took current epoch 43.26s,cumulative time 133.44s
MODEL SAVED
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 5.5138e-05	 RES : 5.3042e-06	 MSE : 3.6307e-04	 REL : 9.3196e-01
Epoch 3, 50%	 Loss : 4.4863e-05	 RES : 2.1596e-06	 MSE : 1.9737e-04	 REL : 7.3333e-01
Epoch 3, 75%	 Loss : 5.0108e-05	 RES : 2.5746e-06	 MSE : 2.6831e-04	 REL : 7.6251e-01
Training Epoch 3 :	 Loss : 4.9458e-05 	 RES : 2.5657e-06	 MSE : 2.5246e-04	 REL : 7.5797e-01
Validation Epoch 3 :	 Loss : 4.8489e-05	 RES : 2.1692e-06	 MSE : 2.3318e-04	 REL : 7.2827e-01
Training Epoch 3 finished,took current epoch 43.56s,cumulative time 176.89s
MODEL SAVED
Learning Rate : 0.01
Epoch 4, 25%	 Loss : 4.8262e-05	 RES : 2.4841e-06	 MSE : 2.3173e-04	 REL : 7.4455e-01
Epoch 4, 50%	 Loss : 4.4174e-05	 RES : 1.8261e-06	 MSE : 1.8502e-04	 REL : 7.1002e-01
Epoch 4, 75%	 Loss : 5.0004e-05	 RES : 2.5148e-06	 MSE : 2.6638e-04	 REL : 7.5976e-01
Training Epoch 4 :	 Loss : 4.9111e-05 	 RES : 2.3759e-06	 MSE : 2.4688e-04	 REL : 7.5000e-01
Validation Epoch 4 :	 Loss : 4.8298e-05	 RES : 2.0686e-06	 MSE : 2.2885e-04	 REL : 7.2145e-01
Training Epoch 4 finished,took current epoch 43.68s,cumulative time 220.49s
MODEL SAVED
Learning Rate : 0.01
Epoch 5, 25%	 Loss : 4.7251e-05	 RES : 2.0451e-06	 MSE : 2.2313e-04	 REL : 7.3060e-01
Epoch 5, 50%	 Loss : 4.5332e-05	 RES : 2.4163e-06	 MSE : 2.1874e-04	 REL : 7.7201e-01
Epoch 5, 75%	 Loss : 4.9680e-05	 RES : 2.4248e-06	 MSE : 2.6175e-04	 REL : 7.5314e-01
Training Epoch 5 :	 Loss : 4.8808e-05 	 RES : 2.2896e-06	 MSE : 2.4365e-04	 REL : 7.4485e-01
Validation Epoch 5 :	 Loss : 4.8303e-05	 RES : 2.0951e-06	 MSE : 2.2904e-04	 REL : 7.2168e-01
Training Epoch 5 finished,took current epoch 43.67s,cumulative time 264.11s
Learning Rate : 0.01
Epoch 6, 25%	 Loss : 5.0109e-05	 RES : 3.2690e-06	 MSE : 2.7566e-04	 REL : 8.1206e-01
Epoch 6, 50%	 Loss : 4.5808e-05	 RES : 2.3351e-06	 MSE : 2.1877e-04	 REL : 7.7205e-01
Epoch 6, 75%	 Loss : 4.8724e-05	 RES : 2.0568e-06	 MSE : 2.4558e-04	 REL : 7.2950e-01
Training Epoch 6 :	 Loss : 4.8744e-05 	 RES : 2.2666e-06	 MSE : 2.4259e-04	 REL : 7.4318e-01
Validation Epoch 6 :	 Loss : 4.8138e-05	 RES : 2.1094e-06	 MSE : 2.3295e-04	 REL : 7.2779e-01
Training Epoch 6 finished,took current epoch 44.09s,cumulative time 308.14s
Learning Rate : 0.01
Epoch 7, 25%	 Loss : 4.7327e-05	 RES : 2.1092e-06	 MSE : 2.2148e-04	 REL : 7.2790e-01
Epoch 7, 50%	 Loss : 4.4306e-05	 RES : 1.7746e-06	 MSE : 1.8421e-04	 REL : 7.0845e-01
Epoch 7, 75%	 Loss : 4.8753e-05	 RES : 2.0381e-06	 MSE : 2.4489e-04	 REL : 7.2847e-01
Training Epoch 7 :	 Loss : 4.8611e-05 	 RES : 2.2199e-06	 MSE : 2.4194e-04	 REL : 7.4227e-01
Validation Epoch 7 :	 Loss : 4.7845e-05	 RES : 1.9631e-06	 MSE : 2.2513e-04	 REL : 7.1549e-01
Training Epoch 7 finished,took current epoch 44.34s,cumulative time 352.38s
MODEL SAVED
Learning Rate : 0.01
Epoch 8, 25%	 Loss : 4.6903e-05	 RES : 1.9450e-06	 MSE : 2.1576e-04	 REL : 7.1843e-01
Epoch 8, 50%	 Loss : 4.4221e-05	 RES : 1.8757e-06	 MSE : 1.9087e-04	 REL : 7.2116e-01
Epoch 8, 75%	 Loss : 4.8739e-05	 RES : 2.0567e-06	 MSE : 2.4900e-04	 REL : 7.3456e-01
Training Epoch 8 :	 Loss : 4.8456e-05 	 RES : 2.1783e-06	 MSE : 2.3978e-04	 REL : 7.3927e-01
Validation Epoch 8 :	 Loss : 4.8794e-05	 RES : 1.9687e-06	 MSE : 2.2542e-04	 REL : 7.1597e-01
Training Epoch 8 finished,took current epoch 44.00s,cumulative time 396.30s
Learning Rate : 0.01
Epoch 9, 25%	 Loss : 4.7460e-05	 RES : 2.1242e-06	 MSE : 2.2816e-04	 REL : 7.3880e-01
Epoch 9, 50%	 Loss : 4.3717e-05	 RES : 1.7108e-06	 MSE : 1.8419e-04	 REL : 7.0842e-01
Epoch 9, 75%	 Loss : 4.9003e-05	 RES : 2.1409e-06	 MSE : 2.4559e-04	 REL : 7.2951e-01
Training Epoch 9 :	 Loss : 4.8490e-05 	 RES : 2.1904e-06	 MSE : 2.4016e-04	 REL : 7.3874e-01
Validation Epoch 9 :	 Loss : 4.7987e-05	 RES : 2.0267e-06	 MSE : 2.3233e-04	 REL : 7.2682e-01
Training Epoch 9 finished,took current epoch 43.48s,cumulative time 439.73s
Learning Rate : 0.01
Epoch 10, 25%	 Loss : 4.8393e-05	 RES : 1.9865e-06	 MSE : 2.1720e-04	 REL : 7.2082e-01
Epoch 10, 50%	 Loss : 4.3923e-05	 RES : 1.7167e-06	 MSE : 1.8386e-04	 REL : 7.0779e-01
Epoch 10, 75%	 Loss : 4.8666e-05	 RES : 2.2629e-06	 MSE : 2.4280e-04	 REL : 7.2537e-01
Training Epoch 10 :	 Loss : 4.8389e-05 	 RES : 2.1626e-06	 MSE : 2.3978e-04	 REL : 7.3888e-01
Validation Epoch 10 :	 Loss : 4.7617e-05	 RES : 1.8972e-06	 MSE : 2.2436e-04	 REL : 7.1428e-01
Training Epoch 10 finished,took current epoch 43.92s,cumulative time 483.56s
MODEL SAVED
Learning Rate : 0.01
Epoch 11, 25%	 Loss : 4.7769e-05	 RES : 2.2427e-06	 MSE : 2.3692e-04	 REL : 7.5284e-01
Epoch 11, 50%	 Loss : 4.3805e-05	 RES : 1.7050e-06	 MSE : 1.8447e-04	 REL : 7.0896e-01
Epoch 11, 75%	 Loss : 4.8616e-05	 RES : 2.0951e-06	 MSE : 2.4278e-04	 REL : 7.2532e-01
Training Epoch 11 :	 Loss : 4.8301e-05 	 RES : 2.1276e-06	 MSE : 2.3934e-04	 REL : 7.3825e-01
Validation Epoch 11 :	 Loss : 4.8012e-05	 RES : 2.0697e-06	 MSE : 2.2643e-04	 REL : 7.1755e-01
Training Epoch 11 finished,took current epoch 44.42s,cumulative time 527.95s
Learning Rate : 0.01
Epoch 12, 25%	 Loss : 4.7662e-05	 RES : 2.1877e-06	 MSE : 2.3348e-04	 REL : 7.4735e-01
Epoch 12, 50%	 Loss : 4.3694e-05	 RES : 1.7158e-06	 MSE : 1.8036e-04	 REL : 7.0101e-01
Epoch 12, 75%	 Loss : 4.8951e-05	 RES : 2.2049e-06	 MSE : 2.4162e-04	 REL : 7.2359e-01
Training Epoch 12 :	 Loss : 4.8293e-05 	 RES : 2.1280e-06	 MSE : 2.3936e-04	 REL : 7.3786e-01
Validation Epoch 12 :	 Loss : 4.7494e-05	 RES : 1.8861e-06	 MSE : 2.2485e-04	 REL : 7.1506e-01
Training Epoch 12 finished,took current epoch 44.55s,cumulative time 572.38s
MODEL SAVED
Learning Rate : 0.01
Epoch 13, 25%	 Loss : 4.7045e-05	 RES : 1.8541e-06	 MSE : 2.1480e-04	 REL : 7.1683e-01
Epoch 13, 50%	 Loss : 4.3979e-05	 RES : 1.8721e-06	 MSE : 1.8077e-04	 REL : 7.0181e-01
Epoch 13, 75%	 Loss : 4.8701e-05	 RES : 1.9958e-06	 MSE : 2.4435e-04	 REL : 7.2767e-01
Training Epoch 13 :	 Loss : 4.8213e-05 	 RES : 2.0948e-06	 MSE : 2.3873e-04	 REL : 7.3723e-01
Validation Epoch 13 :	 Loss : 4.7894e-05	 RES : 1.9776e-06	 MSE : 2.4026e-04	 REL : 7.3914e-01
Training Epoch 13 finished,took current epoch 45.06s,cumulative time 617.38s
Learning Rate : 0.01
Epoch 14, 25%	 Loss : 5.2908e-05	 RES : 3.7750e-06	 MSE : 3.6577e-04	 REL : 9.3542e-01
Epoch 14, 50%	 Loss : 4.3831e-05	 RES : 1.7270e-06	 MSE : 1.8626e-04	 REL : 7.1240e-01
Epoch 14, 75%	 Loss : 4.8418e-05	 RES : 1.9990e-06	 MSE : 2.4335e-04	 REL : 7.2617e-01
Training Epoch 14 :	 Loss : 4.8128e-05 	 RES : 2.0616e-06	 MSE : 2.3832e-04	 REL : 7.3665e-01
Validation Epoch 14 :	 Loss : 4.7424e-05	 RES : 1.8521e-06	 MSE : 2.2423e-04	 REL : 7.1408e-01
Training Epoch 14 finished,took current epoch 44.35s,cumulative time 661.65s
MODEL SAVED
Learning Rate : 0.01
Epoch 15, 25%	 Loss : 5.4397e-05	 RES : 4.1562e-06	 MSE : 3.8806e-04	 REL : 9.6349e-01
Epoch 15, 50%	 Loss : 4.4227e-05	 RES : 2.0077e-06	 MSE : 1.8083e-04	 REL : 7.0192e-01
Epoch 15, 75%	 Loss : 4.8205e-05	 RES : 1.9414e-06	 MSE : 2.4059e-04	 REL : 7.2204e-01
Training Epoch 15 :	 Loss : 4.8189e-05 	 RES : 2.0762e-06	 MSE : 2.3920e-04	 REL : 7.3766e-01
Validation Epoch 15 :	 Loss : 4.7362e-05	 RES : 1.8470e-06	 MSE : 2.2432e-04	 REL : 7.1422e-01
Training Epoch 15 finished,took current epoch 45.12s,cumulative time 706.67s
MODEL SAVED
Learning Rate : 0.01
Epoch 16, 25%	 Loss : 5.1423e-05	 RES : 3.4791e-06	 MSE : 3.5134e-04	 REL : 9.1678e-01
Epoch 16, 50%	 Loss : 4.4063e-05	 RES : 1.9261e-06	 MSE : 2.0357e-04	 REL : 7.4475e-01
Epoch 16, 75%	 Loss : 4.8288e-05	 RES : 1.9853e-06	 MSE : 2.4937e-04	 REL : 7.3510e-01
Training Epoch 16 :	 Loss : 4.8100e-05 	 RES : 2.0686e-06	 MSE : 2.4023e-04	 REL : 7.3910e-01
Validation Epoch 16 :	 Loss : 4.7540e-05	 RES : 1.8801e-06	 MSE : 2.3012e-04	 REL : 7.2336e-01
Training Epoch 16 finished,took current epoch 44.94s,cumulative time 751.50s
Learning Rate : 0.01
Epoch 17, 25%	 Loss : 4.9775e-05	 RES : 3.0484e-06	 MSE : 3.2386e-04	 REL : 8.8020e-01
Epoch 17, 50%	 Loss : 4.3351e-05	 RES : 1.6272e-06	 MSE : 1.7953e-04	 REL : 6.9939e-01
Epoch 17, 75%	 Loss : 4.8282e-05	 RES : 2.0284e-06	 MSE : 2.4072e-04	 REL : 7.2224e-01
Training Epoch 17 :	 Loss : 4.8084e-05 	 RES : 2.0705e-06	 MSE : 2.4030e-04	 REL : 7.3846e-01
Validation Epoch 17 :	 Loss : 4.7286e-05	 RES : 1.8472e-06	 MSE : 2.2771e-04	 REL : 7.1956e-01
Training Epoch 17 finished,took current epoch 45.10s,cumulative time 796.57s
Learning Rate : 0.01
Epoch 18, 25%	 Loss : 4.8629e-05	 RES : 2.7032e-06	 MSE : 2.7675e-04	 REL : 8.1367e-01
Epoch 18, 50%	 Loss : 4.3301e-05	 RES : 1.6619e-06	 MSE : 1.8169e-04	 REL : 7.0360e-01
Epoch 18, 75%	 Loss : 4.7886e-05	 RES : 1.9273e-06	 MSE : 2.3806e-04	 REL : 7.1824e-01
Training Epoch 18 :	 Loss : 4.7943e-05 	 RES : 2.0279e-06	 MSE : 2.3842e-04	 REL : 7.3637e-01
Validation Epoch 18 :	 Loss : 4.7158e-05	 RES : 1.8221e-06	 MSE : 2.2474e-04	 REL : 7.1487e-01
Training Epoch 18 finished,took current epoch 45.15s,cumulative time 841.61s
MODEL SAVED
Learning Rate : 0.01
Epoch 19, 25%	 Loss : 4.8395e-05	 RES : 2.5291e-06	 MSE : 2.6567e-04	 REL : 7.9721e-01
Epoch 19, 50%	 Loss : 4.3052e-05	 RES : 1.6042e-06	 MSE : 1.8192e-04	 REL : 7.0404e-01
Epoch 19, 75%	 Loss : 4.7881e-05	 RES : 2.0028e-06	 MSE : 2.4139e-04	 REL : 7.2325e-01
Training Epoch 19 :	 Loss : 4.7728e-05 	 RES : 2.0144e-06	 MSE : 2.3738e-04	 REL : 7.3474e-01
Validation Epoch 19 :	 Loss : 4.7106e-05	 RES : 1.7941e-06	 MSE : 2.2328e-04	 REL : 7.1256e-01
Training Epoch 19 finished,took current epoch 44.86s,cumulative time 886.38s
MODEL SAVED
Learning Rate : 0.01
Epoch 20, 25%	 Loss : 4.8681e-05	 RES : 2.4785e-06	 MSE : 2.6775e-04	 REL : 8.0033e-01
Epoch 20, 50%	 Loss : 4.3012e-05	 RES : 1.5813e-06	 MSE : 1.7848e-04	 REL : 6.9735e-01
Epoch 20, 75%	 Loss : 4.8284e-05	 RES : 2.1277e-06	 MSE : 2.3959e-04	 REL : 7.2055e-01
Training Epoch 20 :	 Loss : 4.7680e-05 	 RES : 1.9859e-06	 MSE : 2.3605e-04	 REL : 7.3332e-01
Validation Epoch 20 :	 Loss : 4.7231e-05	 RES : 1.7930e-06	 MSE : 2.2467e-04	 REL : 7.1475e-01
Training Epoch 20 finished,took current epoch 45.25s,cumulative time 931.55s
MODEL SAVED
Learning Rate : 0.01
Epoch 21, 25%	 Loss : 4.6240e-05	 RES : 1.7465e-06	 MSE : 2.1260e-04	 REL : 7.1315e-01
Epoch 21, 50%	 Loss : 4.2948e-05	 RES : 1.5698e-06	 MSE : 1.7901e-04	 REL : 6.9838e-01
Epoch 21, 75%	 Loss : 4.7783e-05	 RES : 1.8877e-06	 MSE : 2.4141e-04	 REL : 7.2327e-01
Training Epoch 21 :	 Loss : 4.7599e-05 	 RES : 1.9717e-06	 MSE : 2.3576e-04	 REL : 7.3279e-01
Validation Epoch 21 :	 Loss : 4.7110e-05	 RES : 1.8130e-06	 MSE : 2.2557e-04	 REL : 7.1617e-01
Training Epoch 21 finished,took current epoch 45.09s,cumulative time 976.60s
Learning Rate : 0.01
Epoch 22, 25%	 Loss : 4.5861e-05	 RES : 1.6850e-06	 MSE : 2.1171e-04	 REL : 7.1166e-01
Epoch 22, 50%	 Loss : 4.3351e-05	 RES : 1.6860e-06	 MSE : 1.7868e-04	 REL : 6.9775e-01
Epoch 22, 75%	 Loss : 4.8138e-05	 RES : 2.4178e-06	 MSE : 2.4760e-04	 REL : 7.3250e-01
Training Epoch 22 :	 Loss : 4.7629e-05 	 RES : 1.9996e-06	 MSE : 2.3722e-04	 REL : 7.3485e-01
Validation Epoch 22 :	 Loss : 4.7138e-05	 RES : 1.8510e-06	 MSE : 2.3230e-04	 REL : 7.2677e-01
Training Epoch 22 finished,took current epoch 44.73s,cumulative time 1021.24s
Learning Rate : 0.01
Epoch 23, 25%	 Loss : 4.7031e-05	 RES : 2.0791e-06	 MSE : 2.2913e-04	 REL : 7.4037e-01
Epoch 23, 50%	 Loss : 4.3594e-05	 RES : 1.8218e-06	 MSE : 1.8273e-04	 REL : 7.0560e-01
Epoch 23, 75%	 Loss : 4.7896e-05	 RES : 2.0557e-06	 MSE : 2.4350e-04	 REL : 7.2640e-01
Training Epoch 23 :	 Loss : 4.7521e-05 	 RES : 1.9678e-06	 MSE : 2.3535e-04	 REL : 7.3172e-01
Validation Epoch 23 :	 Loss : 4.6891e-05	 RES : 1.7753e-06	 MSE : 2.2357e-04	 REL : 7.1301e-01
Training Epoch 23 finished,took current epoch 44.06s,cumulative time 1065.21s
MODEL SAVED
Learning Rate : 0.01
Epoch 24, 25%	 Loss : 4.7935e-05	 RES : 2.4347e-06	 MSE : 2.5174e-04	 REL : 7.7603e-01
Epoch 24, 50%	 Loss : 4.2908e-05	 RES : 1.5533e-06	 MSE : 1.7847e-04	 REL : 6.9733e-01
Epoch 24, 75%	 Loss : 4.8071e-05	 RES : 2.0927e-06	 MSE : 2.4021e-04	 REL : 7.2148e-01
Training Epoch 24 :	 Loss : 4.7382e-05 	 RES : 1.9202e-06	 MSE : 2.3326e-04	 REL : 7.2890e-01
Validation Epoch 24 :	 Loss : 4.7123e-05	 RES : 1.9226e-06	 MSE : 2.3184e-04	 REL : 7.2605e-01
Training Epoch 24 finished,took current epoch 44.79s,cumulative time 1109.95s
Learning Rate : 0.01
Epoch 25, 25%	 Loss : 4.7105e-05	 RES : 1.9462e-06	 MSE : 2.2255e-04	 REL : 7.2966e-01
Epoch 25, 50%	 Loss : 4.2915e-05	 RES : 1.6774e-06	 MSE : 1.7847e-04	 REL : 6.9734e-01
