
Epoch 0, 25%	 Loss : 1.9986e-04	 RES : 1.4596e-05	 MSE : 3.5509e-04	 REL : 9.2166e-01
Epoch 0, 50%	 Loss : 9.2152e-05	 RES : 5.6780e-06	 MSE : 2.5714e-04	 REL : 8.3703e-01
Epoch 0, 75%	 Loss : 9.0273e-05	 RES : 5.3374e-06	 MSE : 3.4214e-04	 REL : 8.6105e-01
Training Epoch 0 :	 Loss : 6.9317e-04 	 RES : 3.1547e-04	 MSE : 2.8113e-03	 REL : 1.3098e+00
Validation Epoch 0 :	 Loss : 7.3179e-05	 RES : 3.4858e-06	 MSE : 2.5199e-04	 REL : 7.5711e-01
Training Epoch 0 finished,took current epoch 107.02s,cumulative time 106.88s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 6.8379e-05	 RES : 3.1475e-06	 MSE : 2.3457e-04	 REL : 7.4909e-01
Epoch 1, 50%	 Loss : 5.8699e-05	 RES : 2.1752e-06	 MSE : 1.9237e-04	 REL : 7.2397e-01
Epoch 1, 75%	 Loss : 6.6743e-05	 RES : 2.6032e-06	 MSE : 2.6231e-04	 REL : 7.5394e-01
Training Epoch 1 :	 Loss : 6.8162e-05 	 RES : 2.8644e-06	 MSE : 2.5113e-04	 REL : 7.5557e-01
Validation Epoch 1 :	 Loss : 6.1258e-05	 RES : 1.9006e-06	 MSE : 2.1706e-04	 REL : 7.0256e-01
Training Epoch 1 finished,took current epoch 104.45s,cumulative time 211.24s
MODEL SAVED
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 6.3817e-05	 RES : 2.4789e-06	 MSE : 2.3100e-04	 REL : 7.4338e-01
Epoch 2, 50%	 Loss : 6.2889e-05	 RES : 2.9001e-06	 MSE : 2.7059e-04	 REL : 8.5864e-01
Epoch 2, 75%	 Loss : 6.6661e-05	 RES : 2.5383e-06	 MSE : 2.7942e-04	 REL : 7.7813e-01
Training Epoch 2 :	 Loss : 6.1933e-05 	 RES : 1.9798e-06	 MSE : 2.2895e-04	 REL : 7.2042e-01
Validation Epoch 2 :	 Loss : 5.8865e-05	 RES : 1.5972e-06	 MSE : 2.0969e-04	 REL : 6.9039e-01
Training Epoch 2 finished,took current epoch 104.71s,cumulative time 315.88s
MODEL SAVED
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 5.6633e-05	 RES : 1.3910e-06	 MSE : 1.9430e-04	 REL : 6.8176e-01
Epoch 3, 50%	 Loss : 5.6045e-05	 RES : 1.7798e-06	 MSE : 2.2445e-04	 REL : 7.8201e-01
Epoch 3, 75%	 Loss : 5.9441e-05	 RES : 1.5673e-06	 MSE : 2.2548e-04	 REL : 6.9901e-01
Training Epoch 3 :	 Loss : 5.9445e-05 	 RES : 1.6172e-06	 MSE : 2.1933e-04	 REL : 7.0527e-01
Validation Epoch 3 :	 Loss : 5.8540e-05	 RES : 1.4926e-06	 MSE : 2.2021e-04	 REL : 7.0790e-01
Training Epoch 3 finished,took current epoch 105.56s,cumulative time 421.29s
MODEL SAVED
Learning Rate : 0.01
Epoch 4, 25%	 Loss : 5.5079e-05	 RES : 1.1205e-06	 MSE : 1.7764e-04	 REL : 6.5188e-01
Epoch 4, 50%	 Loss : 5.0814e-05	 RES : 1.0290e-06	 MSE : 1.5123e-04	 REL : 6.4192e-01
Epoch 4, 75%	 Loss : 5.6781e-05	 RES : 1.1744e-06	 MSE : 1.9544e-04	 REL : 6.5079e-01
Training Epoch 4 :	 Loss : 5.7788e-05 	 RES : 1.3649e-06	 MSE : 2.0702e-04	 REL : 6.8440e-01
Validation Epoch 4 :	 Loss : 5.5735e-05	 RES : 1.0630e-06	 MSE : 1.7966e-04	 REL : 6.3896e-01
Training Epoch 4 finished,took current epoch 105.62s,cumulative time 526.76s
MODEL SAVED
