
Epoch 0, 25%	 Loss : 1.0757e-04	 RES : 1.8879e-05	 MSE : 4.0374e-04	 REL : 9.8277e-01
Epoch 0, 50%	 Loss : 5.4717e-05	 RES : 6.2359e-06	 MSE : 2.6558e-04	 REL : 8.5066e-01
Epoch 0, 75%	 Loss : 5.4139e-05	 RES : 4.9289e-06	 MSE : 3.0463e-04	 REL : 8.1249e-01
Training Epoch 0 :	 Loss : 3.0795e-04 	 RES : 3.8809e-05	 MSE : 5.4396e-04	 REL : 9.6533e-01
Validation Epoch 0 :	 Loss : 5.1935e-05	 RES : 4.2487e-06	 MSE : 2.7785e-04	 REL : 7.9515e-01
Training Epoch 0 finished,took current epoch 75.12s,cumulative time 74.94s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 4.9456e-05	 RES : 3.4395e-06	 MSE : 2.5930e-04	 REL : 7.8760e-01
Epoch 1, 50%	 Loss : 4.7590e-05	 RES : 3.7854e-06	 MSE : 2.5586e-04	 REL : 8.3495e-01
Epoch 1, 75%	 Loss : 5.0922e-05	 RES : 3.5805e-06	 MSE : 2.8859e-04	 REL : 7.9081e-01
Training Epoch 1 :	 Loss : 5.0930e-05 	 RES : 3.7840e-06	 MSE : 2.7623e-04	 REL : 7.9295e-01
Validation Epoch 1 :	 Loss : 4.9246e-05	 RES : 3.1346e-06	 MSE : 2.5807e-04	 REL : 7.6630e-01
Training Epoch 1 finished,took current epoch 70.01s,cumulative time 144.87s
MODEL SAVED
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 4.8146e-05	 RES : 3.0236e-06	 MSE : 2.4390e-04	 REL : 7.6385e-01
Epoch 2, 50%	 Loss : 4.4634e-05	 RES : 2.5926e-06	 MSE : 2.1618e-04	 REL : 7.6748e-01
Epoch 2, 75%	 Loss : 4.8714e-05	 RES : 2.4152e-06	 MSE : 2.5767e-04	 REL : 7.4724e-01
Training Epoch 2 :	 Loss : 4.8762e-05 	 RES : 2.8419e-06	 MSE : 2.5700e-04	 REL : 7.6488e-01
Validation Epoch 2 :	 Loss : 4.7745e-05	 RES : 2.2218e-06	 MSE : 2.3723e-04	 REL : 7.3450e-01
Training Epoch 2 finished,took current epoch 70.86s,cumulative time 215.61s
MODEL SAVED
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 4.8206e-05	 RES : 2.8563e-06	 MSE : 2.5684e-04	 REL : 7.8385e-01
Epoch 3, 50%	 Loss : 4.3616e-05	 RES : 2.0061e-06	 MSE : 1.9279e-04	 REL : 7.2478e-01
Epoch 3, 75%	 Loss : 4.7908e-05	 RES : 1.9991e-06	 MSE : 2.4312e-04	 REL : 7.2584e-01
