
Epoch 0, 25%	 Loss : 2.5800e-04	 RES : 7.9217e-06	 MSE : 3.3552e-04	 REL : 8.9590e-01
Epoch 0, 50%	 Loss : 1.3194e-04	 RES : 3.6332e-06	 MSE : 2.4961e-04	 REL : 8.2469e-01
Epoch 0, 75%	 Loss : 1.0742e-04	 RES : 2.3964e-06	 MSE : 2.4809e-04	 REL : 7.3322e-01
Training Epoch 0 :	 Loss : 1.4299e-03 	 RES : 7.8236e-05	 MSE : 8.5909e-04	 REL : 9.8211e-01
Validation Epoch 0 :	 Loss : 9.0225e-05	 RES : 1.6559e-06	 MSE : 2.0938e-04	 REL : 6.8987e-01
Training Epoch 0 finished,took current epoch 108.32s,cumulative time 107.98s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 9.7900e-05	 RES : 2.5950e-06	 MSE : 2.9449e-04	 REL : 8.3934e-01
Epoch 1, 50%	 Loss : 7.6880e-05	 RES : 1.4743e-06	 MSE : 2.1315e-04	 REL : 7.6209e-01
Epoch 1, 75%	 Loss : 8.1808e-05	 RES : 1.4504e-06	 MSE : 2.1968e-04	 REL : 6.8996e-01
Training Epoch 1 :	 Loss : 8.3387e-05 	 RES : 1.4556e-06	 MSE : 2.1103e-04	 REL : 6.8675e-01
Validation Epoch 1 :	 Loss : 7.1491e-05	 RES : 8.4334e-07	 MSE : 1.5749e-04	 REL : 5.9806e-01
Training Epoch 1 finished,took current epoch 103.82s,cumulative time 211.68s
MODEL SAVED
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 6.8431e-05	 RES : 8.0739e-07	 MSE : 1.7792e-04	 REL : 6.5240e-01
Epoch 2, 50%	 Loss : 6.7780e-05	 RES : 1.0450e-06	 MSE : 1.9970e-04	 REL : 7.3764e-01
Epoch 2, 75%	 Loss : 6.8351e-05	 RES : 6.7239e-07	 MSE : 1.4683e-04	 REL : 5.6407e-01
Training Epoch 2 :	 Loss : 7.1941e-05 	 RES : 9.7696e-07	 MSE : 1.9113e-04	 REL : 6.5033e-01
Validation Epoch 2 :	 Loss : 6.6279e-05	 RES : 6.3854e-07	 MSE : 1.4974e-04	 REL : 5.8308e-01
Training Epoch 2 finished,took current epoch 104.77s,cumulative time 316.15s
MODEL SAVED
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 6.3693e-05	 RES : 6.1344e-07	 MSE : 1.3992e-04	 REL : 5.7854e-01
Epoch 3, 50%	 Loss : 6.3569e-05	 RES : 9.1828e-07	 MSE : 2.0006e-04	 REL : 7.3831e-01
Epoch 3, 75%	 Loss : 6.4833e-05	 RES : 5.4370e-07	 MSE : 1.3597e-04	 REL : 5.4281e-01
Training Epoch 3 :	 Loss : 6.7262e-05 	 RES : 7.7194e-07	 MSE : 1.7976e-04	 REL : 6.2746e-01
Validation Epoch 3 :	 Loss : 6.4540e-05	 RES : 6.5026e-07	 MSE : 1.5996e-04	 REL : 6.0281e-01
Training Epoch 3 finished,took current epoch 105.29s,cumulative time 421.32s
Learning Rate : 0.01
Epoch 4, 25%	 Loss : 5.9926e-05	 RES : 4.5871e-07	 MSE : 1.1138e-04	 REL : 5.1618e-01
Epoch 4, 50%	 Loss : 6.3427e-05	 RES : 9.4329e-07	 MSE : 2.0901e-04	 REL : 7.5463e-01
Epoch 4, 75%	 Loss : 6.6353e-05	 RES : 1.1437e-06	 MSE : 1.8753e-04	 REL : 6.3748e-01
Training Epoch 4 :	 Loss : 6.5156e-05 	 RES : 7.2341e-07	 MSE : 1.6813e-04	 REL : 6.0161e-01
Validation Epoch 4 :	 Loss : 7.3805e-05	 RES : 1.5827e-06	 MSE : 2.6614e-04	 REL : 7.7912e-01
Training Epoch 4 finished,took current epoch 106.43s,cumulative time 527.66s
Learning Rate : 0.01
Epoch 5, 25%	 Loss : 5.9393e-05	 RES : 4.6712e-07	 MSE : 1.1173e-04	 REL : 5.1699e-01
Epoch 5, 50%	 Loss : 5.3530e-05	 RES : 3.6788e-07	 MSE : 8.3067e-05	 REL : 4.7574e-01
Epoch 5, 75%	 Loss : 6.0722e-05	 RES : 4.0387e-07	 MSE : 1.0707e-04	 REL : 4.8167e-01
Training Epoch 5 :	 Loss : 6.3694e-05 	 RES : 6.9766e-07	 MSE : 1.6347e-04	 REL : 5.9317e-01
Validation Epoch 5 :	 Loss : 5.9879e-05	 RES : 4.4143e-07	 MSE : 1.1451e-04	 REL : 5.0971e-01
Training Epoch 5 finished,took current epoch 105.59s,cumulative time 633.05s
MODEL SAVED
Learning Rate : 0.01
Epoch 6, 25%	 Loss : 5.8389e-05	 RES : 4.0061e-07	 MSE : 1.0731e-04	 REL : 5.0666e-01
Epoch 6, 50%	 Loss : 5.5420e-05	 RES : 4.9837e-07	 MSE : 8.4856e-05	 REL : 4.8084e-01
Epoch 6, 75%	 Loss : 6.1334e-05	 RES : 6.1990e-07	 MSE : 1.1220e-04	 REL : 4.9309e-01
Training Epoch 6 :	 Loss : 6.1667e-05 	 RES : 5.9170e-07	 MSE : 1.4900e-04	 REL : 5.6836e-01
Validation Epoch 6 :	 Loss : 5.8467e-05	 RES : 3.6915e-07	 MSE : 9.6879e-05	 REL : 4.6864e-01
Training Epoch 6 finished,took current epoch 107.34s,cumulative time 740.16s
MODEL SAVED
Learning Rate : 0.01
Epoch 7, 25%	 Loss : 5.6478e-05	 RES : 3.3232e-07	 MSE : 9.8485e-05	 REL : 4.8539e-01
Epoch 7, 50%	 Loss : 5.3925e-05	 RES : 4.4197e-07	 MSE : 1.0845e-04	 REL : 5.4359e-01
Epoch 7, 75%	 Loss : 5.8924e-05	 RES : 3.8363e-07	 MSE : 1.0481e-04	 REL : 4.7657e-01
Training Epoch 7 :	 Loss : 6.0969e-05 	 RES : 5.6245e-07	 MSE : 1.5066e-04	 REL : 5.6920e-01
Validation Epoch 7 :	 Loss : 5.7852e-05	 RES : 3.5342e-07	 MSE : 9.7049e-05	 REL : 4.6906e-01
Training Epoch 7 finished,took current epoch 108.45s,cumulative time 848.38s
MODEL SAVED
Learning Rate : 0.01
Epoch 8, 25%	 Loss : 5.7158e-05	 RES : 4.2023e-07	 MSE : 1.3945e-04	 REL : 5.7758e-01
Epoch 8, 50%	 Loss : 5.4511e-05	 RES : 4.4550e-07	 MSE : 1.1980e-04	 REL : 5.7133e-01
Epoch 8, 75%	 Loss : 5.9272e-05	 RES : 4.0784e-07	 MSE : 1.2677e-04	 REL : 5.2413e-01
Training Epoch 8 :	 Loss : 6.0032e-05 	 RES : 5.2324e-07	 MSE : 1.4231e-04	 REL : 5.5555e-01
Validation Epoch 8 :	 Loss : 5.8584e-05	 RES : 4.4532e-07	 MSE : 1.2304e-04	 REL : 5.2849e-01
Training Epoch 8 finished,took current epoch 107.21s,cumulative time 955.50s
Learning Rate : 0.01
Epoch 9, 25%	 Loss : 5.6010e-05	 RES : 3.3133e-07	 MSE : 8.7647e-05	 REL : 4.5790e-01
Epoch 9, 50%	 Loss : 6.6258e-05	 RES : 1.4270e-06	 MSE : 1.2679e-04	 REL : 5.8777e-01
Epoch 9, 75%	 Loss : 5.7929e-05	 RES : 3.4233e-07	 MSE : 9.9866e-05	 REL : 4.6520e-01
Training Epoch 9 :	 Loss : 6.0142e-05 	 RES : 5.4231e-07	 MSE : 1.3937e-04	 REL : 5.4391e-01
Validation Epoch 9 :	 Loss : 5.6811e-05	 RES : 3.3236e-07	 MSE : 9.2121e-05	 REL : 4.5696e-01
Training Epoch 9 finished,took current epoch 106.73s,cumulative time 1062.00s
MODEL SAVED
Learning Rate : 0.01
Epoch 10, 25%	 Loss : 5.5269e-05	 RES : 2.9513e-07	 MSE : 8.1488e-05	 REL : 4.4152e-01
Epoch 10, 50%	 Loss : 5.2242e-05	 RES : 2.8972e-07	 MSE : 6.6833e-05	 REL : 4.2673e-01
Epoch 10, 75%	 Loss : 5.8446e-05	 RES : 3.5111e-07	 MSE : 9.5060e-05	 REL : 4.5387e-01
Training Epoch 10 :	 Loss : 5.8877e-05 	 RES : 4.6933e-07	 MSE : 1.2900e-04	 REL : 5.3053e-01
